28-02-2014 11:17:37.405;0;tubig;NEXT
28-02-2014 11:17:38.764;1;baso;NEXT
28-02-2014 11:17:42.163;2;oras;PREVIOUS
28-02-2014 11:17:44.329;1;baso;PREVIOUS
28-02-2014 11:17:49.088;0;tubig;NEXT
28-02-2014 11:17:50.397;1;baso;NEXT
28-02-2014 11:17:51.611;2;oras;NEXT
28-02-2014 11:17:54.334;3;ihain;NEXT
28-02-2014 11:17:55.148;4;pagkain;NEXT
28-02-2014 11:17:55.947;5;pindutin;PREVIOUS
28-02-2014 11:17:56.169;4;pagkain;PREVIOUS
28-02-2014 11:17:56.731;3;ihain;DESCRIBE
28-02-2014 11:17:59.971;3;ihain;NEXT
28-02-2014 11:18:48.032;4;pagkain;NEXT
28-02-2014 11:18:50.128;5;pindutin;NEXT
28-02-2014 11:18:54.200;6;magbayad;NEXT
28-02-2014 11:18:56.886;7;umagos;NEXT
28-02-2014 11:18:58.998;8;lata;NEXT
28-02-2014 11:19:01.264;9;asinan;NEXT
28-02-2014 11:19:03.119;10;asukal;NEXT
28-02-2014 11:19:05.618;11;manuod;NEXT
28-02-2014 11:19:08.374;12;batubalani;NEXT
28-02-2014 11:19:11.470;13;itapon;NEXT
28-02-2014 11:19:14.645;14;haluin;NEXT
28-02-2014 11:19:17.704;15;bote;NEXT
28-02-2014 11:19:20.240;16;itulak;NEXT
28-02-2014 11:19:22.445;17;inumin;NEXT
28-02-2014 11:19:25.123;18;isaksak;NEXT
28-02-2014 11:19:27.171;19;talaarawan;NEXT
28-02-2014 11:19:28.784;20;tamaan;NEXT
28-02-2014 11:19:30.272;21;talaan;NEXT
28-02-2014 11:19:32.014;22;alak;NEXT
28-02-2014 11:19:33.342;23;maupo;NEXT
28-02-2014 11:19:35.795;24;bintana;NEXT
28-02-2014 11:19:38.794;25;ipatong;NEXT
28-02-2014 11:19:46.079;26;basurahan;NEXT
28-02-2014 11:19:51.757;27;burahin;NEXT
28-02-2014 11:19:53.953;28;babasahin;NEXT
28-02-2014 11:19:55.505;29;magbasa;NEXT
28-02-2014 11:19:58.060;0;tubig;NEXT
28-02-2014 11:20:01.390;1;baso;NEXT
28-02-2014 11:20:05.028;2;oras;NEXT
28-02-2014 11:20:08.262;3;ihain;NEXT
28-02-2014 11:20:12.228;4;pagkain;NEXT
28-02-2014 11:20:13.986;5;pindutin;NEXT
28-02-2014 11:20:16.306;6;magbayad;NEXT
28-02-2014 11:20:18.621;7;umagos;NEXT
28-02-2014 11:20:21.014;8;lata;NEXT
28-02-2014 11:20:23.529;9;asinan;NEXT
28-02-2014 11:20:26.047;10;asukal;NEXT
28-02-2014 11:20:29.154;11;manuod;NEXT
28-02-2014 11:20:31.038;12;batubalani;NEXT
28-02-2014 11:20:33.817;13;itapon;NEXT
28-02-2014 11:20:36.257;14;haluin;NEXT
28-02-2014 11:20:40.081;15;bote;NEXT
28-02-2014 11:20:42.443;16;itulak;NEXT
28-02-2014 11:20:45.656;17;inumin;NEXT
28-02-2014 11:20:47.790;18;isaksak;NEXT
28-02-2014 11:20:50.796;19;talaarawan;NEXT
28-02-2014 11:20:52.568;20;tamaan;NEXT
28-02-2014 11:20:54.472;21;talaan;NEXT
